Time,Frame Counter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
17-37-21.696,200,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-21.706,201,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.500,,,,
17-37-21.716,202,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.400,,,,
17-37-21.726,203,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-21.736,204,,,,0.000,0.000,0.000,10,-22,-32,55.700,2.750,12.500,,,,
17-37-21.745,205,,,,0.000,0.000,0.000,9,-18,-33,55.700,2.750,12.400,,,,
17-37-21.756,206,,,,0.000,0.000,0.000,10,-19,-33,55.700,2.750,12.400,,,,
17-37-21.765,207,,,,0.000,0.000,0.000,9,-18,-33,55.690,2.750,12.400,,,,
17-37-21.776,208,,,,0.000,0.000,0.000,9,-18,-33,55.690,2.750,12.400,,,,
17-37-21.786,209,,,,0.000,-0.100,0.000,10,-29,-33,55.690,2.750,12.400,,,,
17-37-21.796,210,,,,0.000,-0.100,0.000,10,-12,-33,55.690,2.750,12.400,,,,
17-37-21.806,211,,,,0.000,-0.100,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.816,212,,,,0.000,0.000,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.826,213,,,,0.000,0.000,0.000,9,-12,-33,55.690,2.750,12.400,,,,
17-37-21.836,214,,,,0.000,-0.100,0.000,10,-29,-33,55.690,2.750,12.400,,,,
17-37-21.846,215,,,,-0.100,-0.100,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.858,216,,,,-0.100,-0.100,0.000,10,-11,-33,55.690,2.750,12.400,,,,
17-37-21.869,217,,,,0.000,-0.100,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.876,218,,,,0.000,-0.100,0.000,9,-11,-33,55.690,2.750,12.400,,,,
17-37-21.886,219,,,,0.000,0.000,0.000,9,-23,-32,55.690,2.750,12.400,,,,
17-37-21.896,220,,,,0.000,0.000,0.000,9,-17,-32,55.690,2.750,12.400,,,,
17-37-21.906,221,,,,0.000,0.000,0.000,9,-17,-33,55.690,2.750,12.400,,,,
17-37-21.916,222,,,,0.000,-0.100,0.000,9,-17,-33,55.690,2.750,12.400,,,,
17-37-21.926,223,,,,0.000,-0.100,0.000,10,-17,-32,55.690,2.750,12.400,,,,
17-37-21.936,224,,,,0.000,-0.100,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.946,225,,,,0.100,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-21.956,226,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.740,12.400,,,,
17-37-21.966,227,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-21.976,228,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-21.980,229,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-21.987,230,,,,0.000,0.000,0.000,9,-20,-33,55.690,2.750,12.400,,,,
17-37-22.005,231,,,,0.000,0.000,0.000,9,-20,-32,55.690,2.750,12.400,,,,
17-37-22.008,232,,,,0.000,0.000,0.000,10,-20,-33,55.690,2.750,12.400,,,,
17-37-22.017,233,,,,0.000,0.000,0.000,10,-20,-32,55.690,2.750,12.400,,,,
17-37-22.028,234,,,,0.000,0.000,0.000,7,-20,-33,55.690,2.750,12.400,,,,
17-37-22.037,235,,,,0.000,0.000,0.000,12,-20,-33,55.690,2.750,12.400,,,,
17-37-22.047,236,,,,0.000,0.000,0.000,12,-20,-33,55.690,2.740,12.400,,,,
17-37-22.057,237,,,,0.000,0.000,0.000,12,-20,-33,55.700,2.750,12.400,,,,
17-37-22.068,238,,,,0.000,0.000,0.000,12,-20,-33,55.700,2.740,12.400,,,,
17-37-22.077,239,,,,0.000,-0.100,0.000,4,-20,-33,55.700,2.740,12.400,,,,
17-37-22.087,240,,,,0.000,-0.100,0.000,15,-20,-33,55.700,2.740,12.400,,,,
17-37-22.105,241,,,,0.000,0.000,0.000,15,-20,-33,55.700,2.740,12.400,,,,
17-37-22.107,242,,,,0.000,0.000,0.000,15,-20,-33,55.700,2.740,12.400,,,,
17-37-22.117,243,,,,0.000,0.000,0.000,15,-19,-33,55.700,2.740,12.400,,,,
17-37-22.127,244,,,,0.000,0.000,0.000,8,-20,-33,55.700,2.740,12.400,,,,
17-37-22.137,245,,,,0.000,0.000,0.000,11,-20,-33,55.700,2.740,12.400,,,,
17-37-22.147,246,,,,0.000,0.000,0.000,11,-20,-33,55.700,2.740,12.400,,,,
17-37-22.157,247,,,,0.000,0.000,0.000,11,-20,-33,55.700,2.740,12.400,,,,
17-37-22.167,248,,,,0.000,0.000,0.000,11,-21,-33,55.700,2.740,12.400,,,,
17-37-22.177,249,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-22.187,250,,,,0.100,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-22.205,251,,,,0.100,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-22.207,252,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.218,253,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.400,,,,
17-37-22.228,254,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.238,255,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.248,256,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.258,257,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.267,258,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.400,,,,
17-37-22.277,259,,,,0.000,0.100,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.288,260,,,,0.100,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.305,261,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.400,,,,
17-37-22.307,262,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.317,263,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.327,264,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.337,265,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.347,266,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.358,267,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.367,268,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.377,269,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.388,270,,,,0.000,0.000,0.000,9,-20,-34,55.700,2.760,12.400,,,,
17-37-22.405,271,,,,0.000,-0.100,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.407,272,,,,0.000,-0.100,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.417,273,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.427,274,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.437,275,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.447,276,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.457,277,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.760,12.400,,,,
17-37-22.467,278,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.760,12.400,,,,
17-37-22.478,279,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.487,280,,,,0.000,0.000,0.000,10,-20,-32,55.700,2.760,12.400,,,,
17-37-22.505,281,,,,0.000,0.000,0.000,10,-20,-32,55.700,2.760,12.400,,,,
17-37-22.508,282,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.517,283,,,,0.000,-0.100,0.000,9,-21,-33,55.700,2.760,12.400,,,,
17-37-22.527,284,,,,0.000,-0.100,0.000,9,-19,-33,55.700,2.760,12.400,,,,
17-37-22.538,285,,,,0.000,0.000,0.000,9,-22,-33,55.700,2.760,12.400,,,,
17-37-22.547,286,,,,0.000,0.000,0.000,9,-24,-33,55.700,2.760,12.400,,,,
17-37-22.557,287,,,,0.000,0.000,0.000,10,-27,-33,55.700,2.760,12.400,,,,
17-37-22.567,288,,,,0.100,0.000,0.000,9,-29,-33,55.700,2.760,12.400,,,,
17-37-22.577,289,,,,0.100,0.000,0.000,10,-14,-33,55.700,2.760,12.400,,,,
17-37-22.587,290,,,,0.100,0.000,-0.100,10,-29,-33,55.700,2.770,12.400,,,,
17-37-22.605,291,,,,0.000,0.000,0.000,10,-31,-33,55.700,2.770,12.400,,,,
17-37-22.607,292,,,,0.000,0.000,0.000,10,-33,-33,55.700,2.770,12.400,,,,
17-37-22.617,293,,,,0.000,0.000,0.000,10,-34,-33,55.700,2.770,12.400,,,,
17-37-22.628,294,,,,0.000,0.000,0.000,10,-10,-33,55.700,2.770,12.400,,,,
17-37-22.637,295,,,,0.000,0.000,0.000,9,-29,-33,55.700,2.770,12.400,,,,
17-37-22.647,296,,,,0.000,0.000,0.000,9,-28,-33,55.700,2.770,12.400,,,,
17-37-22.657,297,,,,0.000,0.000,0.000,10,-26,-33,55.700,2.770,12.400,,,,
17-37-22.668,298,,,,0.100,0.000,0.000,10,-23,-33,55.710,2.770,12.400,,,,
17-37-22.677,299,,,,0.000,0.000,0.000,9,-15,-33,55.710,2.770,12.400,,,,
17-37-22.688,300,,,,0.000,0.000,0.000,10,-22,-33,55.710,2.770,12.400,,,,
17-37-22.706,301,,,,0.000,0.000,0.000,10,-19,-32,55.710,2.770,12.400,,,,
17-37-22.708,302,,,,0.000,0.000,0.000,9,-17,-33,55.710,2.770,12.400,,,,
17-37-22.718,303,,,,0.000,0.000,-0.100,10,-16,-32,55.710,2.770,12.400,,,,
17-37-22.728,304,,,,0.000,0.000,-0.100,10,-20,-33,55.710,2.770,12.400,,,,
17-37-22.737,305,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-22.748,306,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.770,12.400,,,,
17-37-22.757,307,,,,0.000,0.000,0.000,10,-19,-33,55.710,2.770,12.400,,,,
17-37-22.767,308,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-22.777,309,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.770,12.400,,,,
17-37-22.787,310,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-22.806,311,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-22.807,312,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.770,12.400,,,,
17-37-22.818,313,,,,0.000,0.000,-0.100,8,-20,-33,55.700,2.770,12.400,,,,
17-37-22.827,314,,,,0.000,0.000,-0.100,11,-20,-33,55.700,2.770,12.400,,,,
17-37-22.837,315,,,,0.000,0.000,0.000,7,-20,-33,55.710,2.770,12.400,,,,
17-37-22.847,316,,,,0.000,0.000,0.000,5,-20,-32,55.710,2.770,12.400,,,,
17-37-22.857,317,,,,0.000,0.000,0.000,3,-20,-32,55.710,2.770,12.400,,,,
17-37-22.868,318,,,,0.000,0.000,0.000,1,-20,-33,55.710,2.770,12.400,,,,
17-37-22.878,319,,,,0.000,0.000,0.000,14,-20,-33,55.710,2.770,12.400,,,,
17-37-22.887,320,,,,0.000,0.000,0.000,4,-20,-32,55.700,2.770,12.400,,,,
17-37-22.906,321,,,,0.000,0.000,0.000,4,-20,-33,55.700,2.770,12.400,,,,
17-37-22.908,322,,,,0.000,0.000,0.000,5,-20,-33,55.710,2.770,12.400,,,,
17-37-22.917,323,,,,0.000,0.000,0.000,6,-20,-33,55.710,2.770,12.400,,,,
17-37-22.927,324,,,,0.000,0.000,0.000,13,-20,-33,55.710,2.770,12.400,,,,
17-37-22.937,325,,,,0.000,0.000,0.000,8,-20,-32,55.710,2.770,12.400,,,,
17-37-22.948,326,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-22.958,327,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.770,12.400,,,,
17-37-22.968,328,,,,0.000,0.000,0.000,12,-20,-32,55.710,2.770,12.400,,,,
17-37-22.977,329,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.770,12.400,,,,
17-37-22.987,330,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-23.006,331,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-23.016,332,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-23.026,333,,,,0.000,0.000,0.000,10,-21,-33,55.710,2.770,12.400,,,,
17-37-23.036,334,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.770,12.400,,,,
17-37-23.046,335,,,,0.000,0.000,0.000,10,-20,-32,55.710,2.770,12.400,,,,
17-37-23.056,336,,,,0.000,0.000,0.000,10,-20,-32,55.710,2.770,12.400,,,,
17-37-23.066,337,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.770,12.400,,,,
17-37-23.076,338,,,,0.000,0.000,0.000,10,-20,-32,55.710,2.770,12.400,,,,
17-37-23.086,339,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.770,12.400,,,,
17-37-23.096,340,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.770,12.400,,,,
17-37-23.106,341,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.770,12.400,,,,
17-37-23.116,342,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.126,343,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.136,344,,,,0.000,0.000,0.000,9,-20,-32,55.710,2.760,12.400,,,,
17-37-23.145,345,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.155,346,,,,0.000,0.000,0.000,9,-20,-32,55.710,2.760,12.400,,,,
17-37-23.166,347,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.176,348,,,,0.000,-0.100,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.186,349,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.196,350,,,,0.000,0.000,0.000,9,-20,-32,55.710,2.760,12.400,,,,
17-37-23.205,351,,,,0.100,0.000,0.000,9,-20,-32,55.710,2.760,12.400,,,,
17-37-23.215,352,,,,0.100,0.000,0.000,9,-20,-32,55.720,2.770,12.400,,,,
17-37-23.226,353,,,,0.100,0.000,0.000,9,-20,-33,55.720,2.770,12.400,,,,
17-37-23.236,354,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.246,355,,,,0.000,0.000,0.000,9,-20,-33,55.720,2.770,12.400,,,,
17-37-23.256,356,,,,0.000,-0.100,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.265,357,,,,0.000,-0.100,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.276,358,,,,0.000,-0.100,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.286,359,,,,0.000,-0.100,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.296,360,,,,0.000,0.000,0.000,10,-20,-32,55.720,2.770,12.400,,,,
17-37-23.306,361,,,,0.000,0.000,0.000,10,-20,-32,55.720,2.770,12.400,,,,
17-37-23.316,362,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.326,363,,,,0.000,0.000,0.000,9,-20,-33,55.720,2.770,12.400,,,,
17-37-23.336,364,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.346,365,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.356,366,,,,0.000,0.000,0.000,9,-20,-33,55.720,2.770,12.400,,,,
17-37-23.366,367,,,,0.000,0.000,0.000,9,-20,-33,55.720,2.760,12.400,,,,
17-37-23.376,368,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.760,12.400,,,,
17-37-23.386,369,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.760,12.400,,,,
17-37-23.396,370,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.770,12.400,,,,
17-37-23.405,371,,,,0.000,0.000,0.000,10,-21,-33,55.720,2.770,12.400,,,,
17-37-23.416,372,,,,0.000,0.000,0.000,9,-20,-33,55.720,2.760,12.400,,,,
17-37-23.426,373,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.760,12.400,,,,
17-37-23.436,374,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.760,12.400,,,,
17-37-23.445,375,,,,0.000,-0.100,0.000,9,-20,-33,55.720,2.760,12.400,,,,
17-37-23.455,376,,,,0.000,-0.100,0.000,9,-20,-33,55.720,2.760,12.400,,,,
17-37-23.465,377,,,,0.000,0.000,0.000,9,-20,-32,55.720,2.760,12.400,,,,
17-37-23.475,378,,,,0.000,0.000,0.000,10,-20,-32,55.720,2.760,12.400,,,,
17-37-23.486,379,,,,0.000,0.000,0.000,10,-20,-33,55.720,2.760,12.400,,,,
17-37-23.496,380,,,,0.000,0.000,0.000,9,-20,-33,55.720,2.760,12.400,,,,
17-37-23.506,381,,,,0.000,0.000,0.000,9,-20,-33,55.720,2.760,12.400,,,,
17-37-23.516,382,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.526,383,,,,0.000,-0.100,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.536,384,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.546,385,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.556,386,,,,-0.100,0.000,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.566,387,,,,-0.200,0.000,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.576,388,,,,-0.100,0.000,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.586,389,,,,0.000,-0.100,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.596,390,,,,0.000,-0.100,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.605,391,,,,0.000,-0.100,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.616,392,,,,0.000,-0.100,0.000,10,-20,-33,55.710,2.760,12.400,,,,
17-37-23.627,393,,,,0.000,-0.100,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.636,394,,,,0.000,-0.100,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.646,395,,,,-0.100,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-23.656,396,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-23.666,397,,,,0.000,0.000,0.000,9,-20,-33,55.710,2.760,12.400,,,,
17-37-23.676,398,,,,0.000,0.000,0.000,10,-20,-33,55.710,2.760,12.400,,,,
